time,ug2_Hs,ug2_Tp,ug2_Tp_ds,ug2_Tm01,ug2_Tm01_ds,ug2_Tm02,ug2_Tm02_ds
10/10/2021 04:30,2.507094485,10.58823529,8.065955066,8.567444729,6.723831692,7.845999814,6.407558597
10/10/2021 05:00,2.559160235,10.58823529,7.772936212,9.140422131,7.676493375,8.350108054,7.375870778
10/10/2021 05:30,2.427089632,10,6.753762708,9.429714441,7.882115194,8.580313009,7.585359417
10/10/2021 06:00,2.515021047,15,12.04606864,9.331444882,8.557338855,8.388099626,8.273565527
10/10/2021 06:30,2.425319937,15,12.20852529,9.415519837,8.511464406,8.519061447,8.175362554
10/10/2021 07:00,2.40717844,10,6.890551545,8.880044392,6.569356682,8.134121494,6.315503503
10/10/2021 07:30,2.44715394,9.473684211,6.219366973,9.157447605,7.076210009,8.332046357,6.841569627
10/10/2021 08:00,2.544040053,11.25,8.217042977,8.812553899,7.395832939,7.921792019,7.099205586
10/10/2021 08:30,2.42062986,10.58823529,7.713831812,8.551016202,7.339782082,7.744942886,7.073831427
10/10/2021 09:00,2.535892293,15,12.60109411,8.524930495,6.917407142,7.643679963,6.615015179
10/10/2021 09:30,2.731525805,10.58823529,7.143495041,8.709754545,7.614046513,7.796848041,7.359563957
10/10/2021 10:00,2.90568302,8.571428571,8.949759335,6.605961206,7.152173041,6.0542378,6.632529418
10/10/2021 10:30,2.921450618,8.181818182,8.466095144,6.54208285,6.960623215,5.989206083,6.439024798
10/10/2021 11:00,2.578513185,8.181818182,8.335061983,6.930288524,7.16161253,6.353529992,6.60583684
10/10/2021 11:30,2.465367794,8.571428571,8.696051387,7.082334794,7.276389929,6.456230238,6.668243287
10/10/2021 12:00,2.317801488,8.181818182,8.389378813,6.673053066,6.979992738,6.130540438,6.459638205
10/10/2021 12:30,2.398378876,10,9.079061057,7.43666007,6.005668315,6.845653315,5.414008485
10/10/2021 13:00,2.584000081,9,7.82494166,8.379572131,8.016730796,7.575511627,7.846937145
10/10/2021 13:30,2.61666181,9,5.593061119,8.468287935,6.787805324,7.76860272,6.5597265
10/10/2021 14:00,2.234445375,10,6.264109408,8.455910157,7.161802713,7.639281577,6.96469285
10/10/2021 14:30,2.915214315,11.25,7.243426628,9.443296819,7.907920207,8.532289063,7.741905122
10/10/2021 15:00,2.396359552,10.58823529,8.450206894,8.620109746,6.943698751,7.960725253,6.682823328
10/10/2021 15:30,2.39051462,9,6.390324963,8.615890699,6.742387546,7.897296146,6.484305393
10/10/2021 16:00,2.385061893,10,7.399670175,8.687131485,6.915231073,7.931201076,6.645105291
10/10/2021 16:30,2.189620607,10.58823529,8.179068631,7.848875712,6.417340173,7.13308883,6.109088556
10/10/2021 17:00,2.248595298,10,7.930464871,7.984159908,6.742320156,7.157172074,6.312321807
10/10/2021 17:30,2.192168427,13.84615385,12.22798389,7.807090701,6.169232131,7.043715447,5.645163133
10/10/2021 18:00,2.394369033,13.84615385,12.36606125,7.668024181,5.710831765,6.916436456,5.225301739
10/10/2021 18:30,2.472598326,9.473684211,8.484819609,7.50016072,5.937886078,6.937971638,5.345022607
10/10/2021 19:00,2.469474382,12,11.45062992,7.252506123,6.492476578,6.710116735,5.95867346
10/10/2021 19:30,2.489393318,7.5,6.83431622,7.247112363,6.318232431,6.749679111,5.811888301
10/10/2021 20:00,2.625968099,9,8.171095184,7.546996215,6.390077858,7.050134915,5.861541655
10/10/2021 20:30,2.568157939,9,7.37487546,8.075812774,6.425346587,7.555961579,6.115023642
10/10/2021 21:00,2.431935371,10.58823529,8.931914098,8.131831465,6.206593202,7.565979944,5.831184314
10/10/2021 21:30,2.546295733,9,6.940567721,8.41958859,6.48750461,7.788710996,6.166880693
